115.522 164.947 6 
117.271 165.916 6 
117.271 165.916 10 
115.522 164.947 10 

115.522 164.947 6 
115.557 166.946 6 
115.557 166.946 10 
115.522 164.947 10 

115.522 164.947 6 
113.808 165.977 6 
113.808 165.977 10 
115.522 164.947 10 

115.522 164.947 6 
113.773 163.977 6 
113.773 163.977 10 
115.522 164.947 10 

115.522 164.947 6 
115.487 162.947 6 
115.487 162.947 10 
115.522 164.947 10 

115.522 164.947 6 
117.236 163.917 6 
117.236 163.917 10 
115.522 164.947 10 

115.522 164.947 6 
117.271 165.916 6 
117.271 165.916 10 
115.522 164.947 10 

