106.963 55.9087 18 
108.776 56.7539 18 
108.776 56.7539 22 
106.963 55.9087 22 

106.963 55.9087 18 
107.137 57.901 18 
107.137 57.901 22 
106.963 55.9087 22 

106.963 55.9087 18 
105.325 57.0558 18 
105.325 57.0558 22 
106.963 55.9087 22 

106.963 55.9087 18 
105.15 55.0634 18 
105.15 55.0634 22 
106.963 55.9087 22 

106.963 55.9087 18 
106.789 53.9163 18 
106.789 53.9163 22 
106.963 55.9087 22 

106.963 55.9087 18 
108.601 54.7616 18 
108.601 54.7616 22 
106.963 55.9087 22 

106.963 55.9087 18 
108.776 56.7539 18 
108.776 56.7539 22 
106.963 55.9087 22 

